Content Type ,Page URL ,Page Title ,Center or Team,Topics,Tags,Collections,Events,Regions,DELETE,UUID
Video,https://milkeninstitute.org/events/future-of-health-summit-2020/livestream/future-fda-disruptive-age,The Future of the FDA in a Disruptive Age,,,"Policy and Regulation, Economic and Health Disparities, Public Health",,Future of Health Summit,United States,,6605231d-cf37-4f94-8e19-5440a4d90cfc
Video,https://milkeninstitute.org/events/future-of-health-summit-2020/livestream/equity-science-funding,Walking the Talk: Embedding Equity in Science Funding,,,"Economic and Health Disparities, ""Diversity, Equity, and Inclusion""",,Future of Health Summit,United States,,189e650d-3c1e-4350-a3f8-3d7816dfcfe0
Video,https://milkeninstitute.org/events/future-of-health-summit-2020/livestream/john-grisham-neal-kassell-conversation,The Novelist and the Neurosurgeon: John Grisham and Neal Kassell Are Pushing the Boundaries of Medical Research,,,Health and Wellness,,Future of Health Summit,United States,,aa435894-cdbb-4e2e-8990-4c7abbe9b446
Video,https://milkeninstitute.org/events/asia-summit-2020/livestream/brent-mcintosh-conversation,The International Response to the COVID Economy: A Conversation with Brent McIntosh,,,"COVID-19, Finance, Economy",,Asia Summit,Singapore,,0b6c7c98-8846-4f3e-b349-cb9c6ea937d8
Video,https://milkeninstitute.org/events/future-of-health-summit-2020/livestream/cancer-pandemic,Cancer Didn't Quit During the Pandemic,,,"Health and Wellness, COVID-19",,Future of Health Summit,United States,,c0e119ff-d6bb-47e7-a30a-4727cd262cb1
Article,https://milkeninstitute.org/centers/center-for-the-future-of-aging/advisory-board/covid-19-and-future-of-aging/housing-older-adults,COVID-19 and the Future of Aging: Housing for Older Adults,Center for the Future of Aging,"Healthy Longevity, Longevity Economy, Financial Wellness","Housing , Aging, Economic and Health Disparities, COVID-19, Health and Wellness",COVID-19 and the Future of Aging,,,,ea5e365c-acde-42bb-b90d-c52f73321813
Article,https://milkeninstitute.org/power-of-ideas/disease-foundations-threatened-covid-adapting,COVID-19 Has Threatened the Important Work of Disease Foundationsâ€”but Nonprofits Are Adapting,,Power of Ideas,"COVID-19, Patient-Centered Care, Health and Wellness",Power of Ideas,,,,e8ae9e80-c225-4aaa-a67b-3b35226750f3
Video,https://milkeninstitute.org/events/future-of-health-summit-2020/livestream/clinical-research-diversity-equity-inclusion,"Moving the Needle on Diversity, Equity, and Inclusion in Clinical Research",,,"Diversity, Equity, and Inclusion, Health and Wellness",,Future of Health Summit,United States,,cf497eb7-af7e-4e86-a93a-5de518f62d1e
Video,https://milkeninstitute.org/events/future-of-health-summit-2020/livestream/sustainable-mental-health-funding,Leveraging Rising Awareness to Create Sustainable Mental Health Funding,,,"Mental Health, Public Health",,Future of Health Summit,United States,,d5554a9e-784a-41ea-920b-f079b1a95b36
Video,https://milkeninstitute.org/events/future-of-health-summit-2020/livestream/covid-19-accelerated-clinical-trial-innovation,How COVID-19 Has Accelerated Patient-Centered Clinical Trial Innovation,,,,,Future of Health Summit,United States,,a9e80799-804d-459a-8cf1-ad02c2aaf46f
Video,https://milkeninstitute.org/events/future-of-health-summit-2020/livestream/pandemic-impact-mental-health-substance-use-disorder,Innovation Born from Disruption: A Pandemic's Impact on Mental Health and Substance Use Disorders,,,"COVID-19, Mental Health, Brain Health",,Future of Health Summit,United States,,cd6b4b8a-f98f-494a-8093-119088f5732e
Video,https://milkeninstitute.org/events/future-of-health-summit-2020/livestream/dr-anthony-fauci-conversation,Where We Are and What More We Need to Do | A Conversation with Dr. Anthony Fauci,,,"Policy and Regulation, Health and Wellness",,Future of Health Summit,United States,,8f2f7487-b232-4bf4-a2ed-41d50a88de66
Report,https://milkeninstitute.org/reports/telehealth-covid-19-pandemic,Recommendations to Advance Telehealth during and after the COVID-19 Pandemic,"FasterCures, Center for Public Health, Center for the Future of Aging",,"Data Collection and Privacy, Economic and Health Disparities, Technology, Medical Research",,,,,9cf861c0-c302-451d-8180-70fc5b75c15b
Video,https://milkeninstitute.org/events/future-of-health-summit-2020/livestream/climate-change-public-health-solutions,Aligning Solutions for Climate Change and Public Health,,,"Energy and Environment, Public Health",,Future of Health Summit,United States,,4a0f68a2-d649-4b57-8258-baedeb0244ec
Video,https://milkeninstitute.org/events/future-of-health-summit-2020/livestream/pfizer-ceo-albert-bourla-alex-gorsky-conversation,A Conversation with Pfizer CEO Albert Bourla and J&J CEO Alex Gorsky,,,"Health and Wellness, COVID-19, Drug Development, Medical Research",,Future of Health Summit,United States,,c8d6d8fd-0d2d-41d7-a56e-e2676e628411
Video,https://milkeninstitute.org/events/future-of-health-summit-2020/livestream/adverse-childhood-experiences-covid,The Pandemic Through a Child's Eyes: Amplifying Adverse Childhood Experiences (ACEs),,,"COVID-19, Health and Wellness, Mental Health, Brain Health",,Future of Health Summit,United States,,4f1723da-c8ae-4839-a275-bac309ba7ece
Video,https://milkeninstitute.org/events/future-of-health-summit-2020/livestream/emerging-venture-philanthropists-investing-patient-impact,Emerging Venture Philanthropists Investing for Patient Impact,,,"Impact Investing, Philanthropy, Patient-Centered Care, Drug Development",,Future of Health Summit,United States,,87d57892-4f04-486c-91f7-2cae29e002c2
Video,https://milkeninstitute.org/events/future-of-health-summit-2020/livestream/telehealth-during-pandemic,Realizing the Promise of Telehealth During the Pandemic and Beyond,,,"COVID-19, Health and Wellness, Patient-Centered Care, Economic and Health Disparities",,Future of Health Summit,United States,,1dc3c557-aa35-4c1b-8581-44c52e2e34f5
Video,https://milkeninstitute.org/events/future-of-health-summit-2020/livestream/future-rare-disease,"The Future of Rare Disease R&D: Protecting Progress, Achieving Access",,,"Drug Development, Health and Wellness",,Future of Health Summit,United States,,d7ab69c7-c71c-42c4-8425-e9243a095bfa
Article,https://milkeninstitute.org/articles/milken-institute-asia-summit-2020-kicks-off,"Milken Institute Asia Summit Kicks Off With Virtual, In Person, Hologram Features",,,"Finance, Technology, Economy",Newsroom,Asia Summit,Singapore,,eb0a4ac4-3f4f-4448-bfb6-b567146b57d5
Video,https://milkeninstitute.org/videos/financial-innovations-labsr-participant-experience,Financial Innovations LabsÂ®: The Participant Experience,Financial Innovations Labs,Financial Innovations Labs,Innovative Financing,,,,,7e5ca1b0-a848-486f-b41e-e4f0ab756ecc
Report,https://milkeninstitute.org/reports/tracking-what-matters,Tracking What Matters: How to Address Critical WIC Needs during a Public Health Emergency,Center for Public Health,,"Public Health, ""Diversity, Equity, and Inclusion"", Health and Wellness",,,United States,,417bfca3-dc8f-4483-918b-6bd2107f849c
Article,https://milkeninstitute.org/articles/economic-impact-obesity-increased-14-trillion-says-milken-institute,"Economic Impact of Obesity increased to $1.4 Trillion, says Milken Institute",Research Department,,"Health and Wellness, Economy, Policy and Regulation",Newsroom,,United States,,08055151-293d-40e9-9742-71a14f0449b9
Article,https://milkeninstitute.org/articles/milken-institute-future-health-summit-opens-december-7,"Milken Institute Future of Health Summit Opens Tomorrow, December 7",,,"Health and Wellness, Public Health, Aging, Policy and Regulation",Newsroom,Future of Health Summit,United States,,8f64af49-7d58-4496-8542-e3379d86e704
Article,https://milkeninstitute.org/newletter/fintech-focus-december-7-2020,"FinTech in Focusâ€”December 7, 2020",Center for Financial Markets,FinTech in Focus,FinTech,,,,,bbe24437-dd7f-43e8-a189-76f08d4f3de9
Report,https://milkeninstitute.org/reports/hungry-for-action,Hungry for Action: Building Food System Resiliency Amid COVID-19,Center for Public Health,,"Food Systems, COVID-19",,,,,80346ca1-a3b9-4beb-aabb-8d6726f464db
Article,https://milkeninstitute.org/centers/center-for-the-future-of-aging/advisory-board/covid-19-and-future-of-aging/prospects-for-geroscience,COVID-19 and the Future of Aging: Prospects for Geroscience,Center for the Future of Aging,Healthy Longevity,"Aging, COVID-19, Health and Wellness, Medical Research",COVID-19 and the Future of Aging,,,,0cf5eb4b-7243-41d7-bc3a-758236d737ec
Article,https://milkeninstitute.org/podcast/intersection-cancer-research-and-covid-treatments,Ep. 109: Lessons Learned: the Intersection of Cancer Research and COVID Treatments,,Michael Milken Podcast,"COVID-19, Medical Research, Drug Development",,,,,66569773-1088-41b1-a0cd-6158c0a689d5
Article,https://milkeninstitute.org/articles/governor-koike-speak-at-asia-summit-2020,Governor of Tokyo Yuriko Koike to Speak at the 2020 Milken Institute Asia Summit | December 8 - 10,,,,Newsroom,Asia Summit,Singapore,,98b709a7-f255-40b4-8c9d-28dbfb27600b
Article,https://milkeninstitute.org/center-for-financial-markets/community-innovation/stories-field-robert-blaine,Stories from the Field,Center for Financial Markets,Opportunity Zones,"Access to Capital, COVID-19, Economy",,,United States,,516a8cb4-cc2c-4d57-9f35-4a31dc8eb2c4
Article,https://milkeninstitute.org/articles/milken-institute-launches-early-warning-system-pandemic-threats,Milken Institute Launches â€œEarly Warningâ€ù Initiative for Emerging Pandemic Threats as COVID-19 Cases Increase,FasterCures,,"Data Collection and Privacy, Drug Development, Health and Wellness, Medical Research, Public Health, Policy and Regulation, Public-Private Partnerships",Newsroom,,,,0d64f73b-1323-4d8b-8f58-c8e480fdf32f
Report,https://milkeninstitute.org/reports/weighing-down-america-2020-update,Weighing Down America: 2020 Update,Research Department,,"Health and Wellness, Policy and Regulation, Public Health",,,United States,,927bc26d-d8f2-4c91-8566-72668d88a549
Article,https://milkeninstitute.org/centers/center-for-the-future-of-aging/advisory-board/covid-19-and-future-of-aging/health-older-adults,COVID-19 and the Future of Aging: The Health of Older Adults,Center for the Future of Aging,"Healthy Longevity, Financial Wellness","Aging, Social Isolation and Loneliness, COVID-19, Economic and Health Disparities, Health and Wellness","COVID-19 and the Future of Aging, Alliance to Improve Dementia Care",,,,aa64ec3e-8de4-4a8c-a9e9-b80791f9a58b
Article,https://milkeninstitute.org/podcast/google-health-david-feinberg-esther-krofah,"Ep. 108: No Silos, with Google Healthâ€™s David Feinberg and FasterCuresâ€™ Esther Krofah",,Michael Milken Podcast,"COVID-19, Health and Wellness, Public Health, Medical Research",,,,,db83fc9c-2125-4846-9816-d95c2c9050d7
Article,https://milkeninstitute.org/power-of-ideas/what-we-know-about-covid-and-what-we-do-here,What We Know about COVID and What We Do from Here,,Power of Ideas,"COVID-19, Health and Wellness, Public Health",Power of Ideas,,,,b200d32c-77ed-4067-9c1e-b607801f2053
Article,https://milkeninstitute.org/power-of-ideas/one-out-10-people-are-affected-rare-diseases-globally-and-we-must-listen-their-stories,One Out of 10 People Are Affected by Rare Diseases Globallyâ€”and We Must Listen to Their Stories,,Power of Ideas,"COVID-19, Medical Research, Drug Development, Health and Wellness",Power of Ideas,,,,645e6c0d-381d-4ead-8b6c-36b203b6f7b2
Article,https://milkeninstitute.org/newsletter/fintech-focus-november-23-2020,"FinTech in Focusâ€”November 23, 2020",Center for Financial Markets,FinTech in Focus,FinTech,,,,,3d725eb4-d221-4d9d-bda7-d5d079337e8f
Article,https://milkeninstitute.org/podcast/thoma-bravos-orlando-bravo-dealmaker,"Ep. 107: Dealmaker, with Thoma Bravoâ€™s Orlando Bravo",,Michael Milken Podcast,"Philanthropy, COVID-19, Economy, Finance",,,,,f40355ac-84d4-47cc-b0e7-a7fd970bf57c
Article,https://milkeninstitute.org/power-of-ideas/covid-doesnt-ask-immigrants-frontlines-their-papers-neither-should-relief-efforts,COVID Doesnâ€™t Ask Immigrants on the Frontlines for Their Papersâ€”Neither Should Relief Efforts,,Power of Ideas,"COVID-19, Economic and Health Disparities, Policy and Regulation",Power of Ideas,,,,fe26ad0f-b7b6-44f4-8115-485660177ad5
Article,https://milkeninstitute.org/power-of-ideas/businesses-struggling-fill-6-million-jobs-we-need-more-effective-and-accessible-training,"With Businesses Struggling to Fill 6 Million Jobs, We Need More Effective and Accessible Training",,Power of Ideas,"COVID-19, Education, Job Creation and Workforce Development, Innovation",Power of Ideas,,,,bfcb4657-48c2-43b3-9573-69b6761922fa
Article,https://milkeninstitute.org/articles/promoting-student-thriving-and-well-being-americas-colleges-and-universities-opportunities,Promoting Student Thriving and Well-Being in Americaâ€™s Colleges and Universities: Opportunities for Philanthropy,Center for Strategic Philanthropy,,"Education, Philanthropy, Mental Health, Health and Wellness",,,,,7c529499-6361-4feb-bd76-72f47605489d
Article,https://milkeninstitute.org/articles/higher-education-covid-19-era-well-being-resilience-and-philanthropy,"Higher Education in the COVID-19 Era: Well-Being, Resilience, and Philanthropy",Center for Strategic Philanthropy,,"Education, Philanthropy, COVID-19, Health and Wellness",,,,,a1d5ee83-ae31-4301-80ad-6920994df301
Report,https://milkeninstitute.org/reports/bigtech-companies-inclusive-and-global-regulatory-framework-needed,BigTech Companies: An Inclusive and Global Regulatory Framework is Needed,Research Department,T20 Policy Briefs and Activities,"Economy, Technology, Policy and Regulation",T20 Policy Briefs and Activities,,,,506844f1-8f54-4b48-b28e-3991d425b608
Report,https://milkeninstitute.org/research-department/g20-t20-initiative/digital-money,Digital Money Is Here: G20 (Thinking) Must Go Digital,Research Department,T20 Policy Briefs and Activities,"Finance, Policy and Regulation",T20 Policy Briefs and Activities,,,,bcbc4d0e-9ec0-480e-8926-4ef8e18bc230
Report,https://milkeninstitute.org/research-department/g20-t20-initiative/gender-equality,Gender Equality Discussion within the G20,Research Department,Meaningful Lives,"Access to Capital, ""Diversity, Equity, and Inclusion"", Economy, Job Creation and Workforce Development, Technology",G20 / T20 Initiative,,,,3206f97f-9a1f-476b-b2f8-84af06f57d23
Report,https://milkeninstitute.org/research-department/g20-t20-initiative/macroprudential-policy-framework,The Macroprudential Policy Framework Needs to Be Global,Research Department,T20 Policy Briefs and Activities,"Policy and Regulation, Finance",T20 Policy Briefs and Activities,,,,69000331-9249-4dca-abe9-96d10a66c3a7
Report,https://milkeninstitute.org/research-department/g20-t20-initiative/monetary-policy,Monetary Policy and Financial System Resilience,Research Department,T20 Policy Briefs and Activities,"Finance, Policy and Regulation",T20 Policy Briefs and Activities,,,,5f955f5f-9ce7-4d5d-8100-817428100747
Article,https://milkeninstitute.org/articles/massachusetts-best-state-technology-and-science-says-milken-institute,"Massachusetts Is the Best State for Technology and Science, Says Milken Institute",Center for Regional Economics and California Center,"State Technology and Science Index, Rankings","Education, Technology, Regional Competitiveness",Newsroom,,,,b48be73e-450f-4cd2-b601-fe34080a83ed
Article,https://milkeninstitute.org/power-of-ideas/sustainable-growth-covid-moderation,Sustainable Growth is Not a Utopian Goal,,Power of Ideas,"COVID-19, Economy",Power of Ideas,,,,cade641a-b58f-43eb-923e-fe4e51c97a23
Article,https://milkeninstitute.org/power-of-ideas/water-crisis-solution-rethink-investment,"To Solve the Water Crisis, We Must Rethink the Way We Invest",,Power of Ideas,"COVID-19, Energy and Environment",Power of Ideas,,,,daaad11f-1f74-44cf-b882-4a2fb06914bd
Article,https://milkeninstitute.org/power-of-ideas/bny-mellon-esg-app,The Great Accelerator â€_ and the World to Come,,Power of Ideas,"COVID-19, Finance, Technology",Power of Ideas,,,,470d4bed-b9ac-4ed8-b2db-8ffd93fff71a
Report,https://milkeninstitute.org/reports/state-technology-science-2020,State Technology and Science Index 2020,Center for Regional Economics and California Center,"State Technology and Science Index, Rankings","Education, Technology, Regional Competitiveness",,,,,ebb81cba-827b-410a-880b-6af8c7b109dd
Article,https://milkeninstitute.org/power-of-ideas/economic-recovery-covid-depends-citizenship-undocumented-immigrants,Economic Recovery from COVID Depends on a Citizenship Pathway for 11 Million Undocumented Immigrants,,Power of Ideas,"COVID-19, Economy, Finance",Power of Ideas,,,,3daeb283-7602-407e-b833-8b7583e64670
